"country","year","cowcode","western","lbritcoli","lnewci","lethnici","lmoslemi","lproti","lreligioni","oil","lpolity2","llngdppc","lgrowth","lworld_polity","lage","polity2_norm","lpolity2_norm","dec90","dec2000","pr","federalism","lb_dum","cses_dum","ab_dum","lgvf","lgvp","lpvf","lpvp","war","v2peapssoc","v2x_polyarchy","reversed_v2peapssoc","bgi","lagged_v2x_polyarchy"
"South Africa",2002,560,0,0,0,28,1.39999997615814,78.0999984741211,41,0,9,9.20805358886719,0.619606614112854,3.16352200508118,9,0.949999988079071,0.949999988079071,0,1,1,0,0,0,0,0.260023206472397,0.184425696730614,0.286656707525253,0.382142812013626,0,-0.682,0.748,1.129,0.640191980182691,0.748
"South Africa",2003,560,0,0,0,28,1.39999997615814,78.0999984741211,41,0,9,9.23247337341309,2.47198343276978,3.27500009536743,10,0.949999988079071,0.949999988079071,0,1,1,0,0,0,0,0.259830176830292,0.184775695204735,0.274034321308136,0.372569769620895,0,-0.682,0.748,1.129,0.640191980182691,0.748
"South Africa",2004,560,0,0,0,28,1.39999997615814,78.0999984741211,41,0,9,9.24872779846191,1.63871681690216,3.30379748344421,11,0.949999988079071,0.949999988079071,0,1,1,0,0,0,0,0.259637147188187,0.185125693678856,0.261411935091019,0.362996727228165,0,-0.682,0.767,1.129,0.640191980182691,0.748
"South Africa",2005,560,0,0,0,28,1.39999997615814,78.0999984741211,41,0,9,9.28016471862793,3.19369149208069,3.43396234512329,12,0.949999988079071,0.949999988079071,0,1,1,0,0,0,0,0.259444147348404,0.185475707054138,0.248789563775063,0.353423684835434,0,-0.682,0.781,1.129,0.640191980182691,0.767
"South Africa",2006,560,0,0,0,28,1.39999997615814,78.0999984741211,41,0,9,9.31819534301758,3.87626886367798,3.67499995231628,13,0.949999988079071,0.949999988079071,0,1,1,0,0,0,0,0.259251117706299,0.185825705528259,0.236167192459106,0.343850642442703,0,-0.682,0.784,1.129,0.640191980182691,0.781
"South Africa",2007,560,0,0,0,28,1.39999997615814,78.0999984741211,41,0,9,9.35885143280029,4.14934158325195,3.75925922393799,14,0.949999988079071,0.949999988079071,0,1,1,0,0,0,0,0.259058088064194,0.18617570400238,0.223544806241989,0.334277600049973,0,-0.682,0.784,1.129,0.640191980182691,0.784
"South Africa",2008,560,0,0,0,28,1.39999997615814,78.0999984741211,41,0,9,9.39707946777344,3.89682149887085,3.72670817375183,15,0.949999988079071,0.949999988079071,0,1,1,0,0,0,1,0.228121995925903,0.164436191320419,0.212092354893684,0.295233070850372,0,-0.682,0.781,1.129,0.640191980182691,0.784
"South Africa",2009,560,0,0,0,28,1.39999997615814,78.0999984741211,41,0,9,9.41420078277588,1.72691714763641,3.83950614929199,16,0.949999988079071,0.949999988079071,0,1,1,0,0,1,0,0.197185903787613,0.142696693539619,0.20063990354538,0.25618851184845,0,-0.682,0.774,1.129,0.640191980182691,0.781
"South Africa",2010,560,0,0,0,28,1.39999997615814,78.0999984741211,41,0,9,9.38410663604736,-2.96459531784058,3.82716059684753,17,0.949999988079071,0.949999988079071,0,0,1,0,0,1,0,0.238703906536102,0.172835305333138,0.253554105758667,0.372044295072556,0,-0.682,0.77,1.129,0.640191980182691,0.774
"South Africa",2011,560,0,0,0,28,1.39999997615814,78.0999984741211,41,0,9,9.39915084838867,1.51579356193542,3.88343548774719,18,0.949999988079071,0.949999988079071,0,0,1,0,0,0,1,0.241406753659248,0.1724893450737,0.230303257703781,0.362453192472458,0,-0.682,0.771,1.129,0.640191980182691,0.77
